City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,Jimenez,MX,88.84,overcast clouds,28.3333,-105.4,El torreon
292,Carnarvon,AU,76.15,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
293,Cabinda,AO,78.46,broken clouds,-5.55,12.2,Hotel Maiombe
295,Yanam,IN,78.42,few clouds,16.7333,82.2167,The Regency Hotel
298,Uaua,BR,78.89,broken clouds,-9.8414,-39.4817,Hotel Uauá
300,Noumea,NC,82.38,clear sky,-22.2763,166.4572,Hôtel Le Lagon
302,Bubaque,GW,75.45,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
305,San Pedro De Macoris,DO,78.78,broken clouds,18.4616,-69.2972,Apartahotel Guaraguao
309,Kanniyakumari,IN,82.6,scattered clouds,8.0833,77.5667,Sparsa Kanyakumari
313,Bowen,AU,76.77,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
321,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
325,Faridpur,BD,78.04,scattered clouds,23.6,89.8333,Progoti Muslim hostel
329,Ruwi,OM,89.2,few clouds,23.5996,58.5507,Al Falaj Hotel
332,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
342,Brokopondo,SR,77.5,broken clouds,4.75,-55.1667,Matu Island
344,Kavaratti,IN,83.53,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
349,The Valley,AI,79.11,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
352,Mana,GF,77.77,overcast clouds,5.6592,-53.7767,LE SAMANA
353,Honiara,SB,82.67,overcast clouds,-9.4333,159.95,Heritage Park Hotel
354,Maragogi,BR,80.91,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
356,Alofi,NU,81.54,light rain,-19.0595,-169.9187,Taloa Heights
362,Camargo,MX,89.26,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
367,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
368,Isla Mujeres,MX,82.45,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
378,Si Sa Ket,TH,82.99,overcast clouds,14.8333,104.3333,ร้านค้า อัญชัน
381,Tamandare,BR,80.98,clear sky,-8.7597,-35.1047,Pousada 100 Passos
382,Banda Aceh,ID,79.57,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
383,Deming,US,84.09,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
386,Ugoofaaru,MV,83.61,overcast clouds,5.6667,73.0,Ungoofaaru Inn
391,Dicabisagan,PH,76.62,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
392,Morant Bay,JM,76.71,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
397,Pinotepa Nacional,MX,87.91,few clouds,16.3167,-98.0167,Hotel Maria Del Carmen
400,Sola,VU,81.95,broken clouds,-13.8833,167.55,Leumerus Bungalows
402,Port Augusta,AU,75.6,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
403,George Town,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
405,Marsh Harbour,BS,76.93,clear sky,26.5412,-77.0636,Abaco Beach Resort
409,Nicoya,CR,88.61,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
410,Teahupoo,PF,82.36,light rain,-17.8333,-149.2667,Vanira Lodge
411,Hobyo,SO,82.42,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
