City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Padang,ID,-0.9492,100.3543,77.05,85,98,4.0,overcast clouds
223,Bethel,US,41.3712,-73.414,59.49,84,100,13.8,overcast clouds
224,Acarau,BR,-2.8856,-40.12,79.02,83,58,6.8,broken clouds
225,Mandvi,IN,22.8333,69.3667,79.02,82,2,13.4,clear sky
226,Ryotsu,JP,38.0833,138.4333,49.5,59,0,6.33,clear sky
227,Longyearbyen,SJ,78.2186,15.6401,22.84,68,75,8.05,broken clouds
228,Uusikaupunki,FI,60.8004,21.4084,32.25,81,82,5.44,broken clouds
229,Berlevag,NO,70.8578,29.0864,37.2,89,100,33.08,overcast clouds
230,Abu Dhabi,AE,24.4667,54.3667,86.02,55,0,3.44,clear sky
231,Lagoa,PT,39.05,-27.9833,58.71,73,19,12.26,few clouds
232,Carutapera,BR,-1.195,-46.02,77.34,92,98,5.3,overcast clouds
233,Leeton,AU,-34.5667,146.4,66.88,55,13,4.61,few clouds
234,Lucapa,AO,-8.4192,20.7447,66.36,94,21,1.36,few clouds
235,Pitea,SE,65.3172,21.4794,28.49,95,44,3.29,scattered clouds
236,Santa Helena De Goias,BR,-17.8136,-50.5969,65.95,52,3,7.81,clear sky
237,Santo Domingo,DO,18.5001,-69.9886,82.08,74,75,6.91,broken clouds
238,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,73,0,11.5,clear sky
239,Rocha,UY,-34.4833,-54.3333,55.11,90,11,3.62,few clouds
240,Sioux Lookout,CA,50.1001,-91.917,26.67,59,100,9.22,overcast clouds
241,Saint Anthony,US,45.0205,-93.218,42.15,37,46,7.0,scattered clouds
242,Fort Nelson,CA,58.8053,-122.7002,20.79,58,100,8.05,overcast clouds
243,Madera,US,37.1666,-119.8343,63.41,92,82,1.01,broken clouds
244,Benguela,AO,-12.5763,13.4055,76.75,87,100,0.4,light rain
245,Maketu,NZ,-37.7667,176.45,68.61,72,100,15.46,overcast clouds
246,Idritsa,RU,56.3316,28.8988,29.68,91,41,6.2,scattered clouds
247,Lokosovo,RU,61.1333,74.8167,26.98,86,91,8.55,overcast clouds
248,Challans,FR,46.8436,-1.8749,59.2,87,10,8.81,clear sky
249,Tezu,IN,27.9167,96.1667,65.41,93,97,6.17,light rain
250,Cidreira,BR,-30.1811,-50.2056,65.84,72,100,7.49,overcast clouds
251,Maputo,MZ,-25.9653,32.5892,64.18,92,100,17.67,light rain
252,Hovd,MN,48.0056,91.6419,37.89,19,0,3.71,clear sky
253,Lata,PT,40.1629,-8.3327,51.04,92,22,1.54,few clouds
254,Wloclawek,PL,52.6482,19.0678,35.08,82,72,6.53,broken clouds
255,Anadyr,RU,64.75,177.4833,34.3,75,75,13.42,broken clouds
256,Kamyzyak,RU,46.11,48.0736,44.58,93,43,0.0,scattered clouds
257,Jalu,LY,29.0331,21.5482,72.59,30,68,17.05,broken clouds
258,Coquimbo,CL,-29.9533,-71.3436,57.4,88,19,5.95,few clouds
259,Edinburgh,GB,55.9521,-3.1965,53.28,86,75,4.61,broken clouds
260,Kisangani,CD,0.5167,25.2,68.85,97,67,1.86,broken clouds
261,Burgeo,CA,47.6167,-57.6152,40.5,77,82,9.78,broken clouds
262,Tiznit,MA,29.5833,-9.5,75.45,23,44,3.53,scattered clouds
263,Luderitz,NA,-26.6481,15.1594,62.67,61,0,12.28,clear sky
264,Buala,SB,-8.145,159.5921,82.29,75,99,4.88,light rain
265,Katsuura,JP,35.1333,140.3,56.84,60,99,10.02,light rain
266,Xuddur,SO,4.1213,43.8894,78.98,69,96,14.7,overcast clouds
267,Scarborough,GB,54.2797,-0.4044,54.91,85,100,17.0,overcast clouds
268,Morehead,US,37.2711,-87.1764,63.0,51,0,10.36,clear sky
269,Mayo,US,38.8876,-76.5119,71.76,68,0,9.22,clear sky
270,Chiang Klang,TH,19.2938,100.8617,78.75,57,43,1.7,scattered clouds
271,Namibe,AO,-15.1961,12.1522,73.33,75,41,7.29,scattered clouds
272,Kabanjahe,ID,3.1001,98.4908,63.41,96,81,1.1,broken clouds
273,Cleveland,US,41.4995,-81.6954,51.42,51,75,9.22,broken clouds
274,Hofn,IS,64.2539,-15.2082,45.77,99,100,10.16,moderate rain
275,Newport,GB,51.5877,-2.9984,55.51,70,89,3.65,overcast clouds
276,Hualmay,PE,-11.0964,-77.6139,67.84,80,99,12.41,overcast clouds
277,Codrington,AU,-38.2667,141.9667,71.28,38,100,22.1,overcast clouds
278,Mawlaik,MM,23.6333,94.4167,73.67,59,25,1.68,scattered clouds
279,Zunyi,CN,27.6867,106.9072,45.39,92,100,2.44,overcast clouds
280,Gainesville,US,29.6516,-82.3248,84.09,61,0,0.0,clear sky
281,Laranjeiras Do Sul,BR,-25.4078,-52.4161,51.55,84,0,0.72,light rain
282,Mahibadhoo,MV,3.7833,72.9667,83.86,74,53,8.19,broken clouds
283,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,53,10.04,broken clouds
284,Athens,GR,37.9795,23.7162,65.23,47,20,11.01,few clouds
285,Nikolskoye,RU,59.7035,30.7861,34.81,82,68,2.84,broken clouds
286,Yorosso,ML,12.3536,-4.7761,76.87,56,93,7.63,overcast clouds
287,Mount Gambier,AU,-37.8333,140.7667,70.21,37,100,14.99,overcast clouds
288,Birjand,IR,32.8663,59.2211,64.09,36,58,9.46,broken clouds
289,Jimenez,MX,28.3333,-105.4,88.84,6,100,4.03,overcast clouds
290,Balkanabat,TM,39.5108,54.3671,56.17,72,100,7.38,light rain
291,Zhigansk,RU,66.7697,123.3711,3.43,99,89,10.31,overcast clouds
292,Carnarvon,AU,-24.8667,113.6333,76.15,59,71,16.98,broken clouds
293,Cabinda,AO,-5.55,12.2,78.46,89,79,3.56,broken clouds
294,Antofagasta,CL,-23.65,-70.4,60.44,87,19,5.84,few clouds
295,Yanam,IN,16.7333,82.2167,78.42,96,17,2.77,few clouds
296,Flinders,AU,-34.5833,150.8552,71.06,87,2,8.01,clear sky
297,Saint-Joseph,RE,-21.3667,55.6167,73.78,77,27,11.45,scattered clouds
298,Uaua,BR,-9.8414,-39.4817,78.89,62,82,7.25,broken clouds
299,Nchelenge,ZM,-9.3451,28.734,68.99,89,100,3.87,light rain
300,Noumea,NC,-22.2763,166.4572,82.38,99,0,9.28,clear sky
301,Bud,US,39.447,-86.1758,57.22,38,2,14.25,clear sky
302,Bubaque,GW,11.2833,-15.8333,75.45,73,5,25.05,clear sky
303,Talnakh,RU,69.4865,88.3972,16.43,94,100,11.03,overcast clouds
304,Oconomowoc,US,43.1117,-88.4993,41.85,49,75,14.97,broken clouds
305,San Pedro De Macoris,DO,18.4616,-69.2972,78.78,70,58,14.61,broken clouds
306,Sao Filipe,CV,14.8961,-24.4956,70.56,80,36,9.95,scattered clouds
307,Agirish,RU,61.9247,63.0231,25.18,98,100,1.23,overcast clouds
